City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mar del plata,-38.0023,-57.5575,66.0,55,0,11.5,AR,1613824493
84,la ronge,55.1001,-105.2842,8.6,92,90,3.44,CA,1613824781
85,punta arenas,-53.15,-70.9167,53.6,62,0,20.71,CL,1613824687
86,sur,22.5667,59.5289,77.25,41,0,6.42,OM,1613824929
87,san patricio,28.017,-97.5169,33.01,93,1,3.44,US,1613824687
88,katobu,-4.9408,122.5276,78.1,86,100,4.14,ID,1613824752
89,barrow,71.2906,-156.7887,-7.6,71,90,5.75,US,1613824695
90,bluff,-46.6,168.3333,53.01,90,3,1.01,NZ,1613824692
91,ancud,-41.8697,-73.8203,54.0,81,0,6.91,CL,1613824713
92,mogadouro,41.3403,-6.7119,53.01,71,100,11.01,PT,1613825201
93,avarua,-21.2078,-159.775,73.4,100,75,2.3,CK,1613824582
94,cabo san lucas,22.8909,-109.9124,61.36,66,0,4.81,MX,1613824763
95,atuona,-9.8,-139.0333,79.11,80,1,14.16,PF,1613824673
96,severo-kurilsk,50.6789,156.125,27.37,94,100,9.91,RU,1613824727
97,aanekoski,62.6946,25.818,19.0,93,90,9.22,FI,1613825203
98,yellowknife,62.456,-114.3525,-0.4,85,90,10.36,CA,1613824673
99,anadyr,64.75,177.4833,-32.8,68,20,6.71,RU,1613824895
100,quatre cocos,-20.2078,57.7625,84.99,74,40,16.11,MU,1613825204
101,puerto madryn,-42.7692,-65.0385,64.49,35,0,14.99,AR,1613824505
102,alice springs,-23.7,133.8833,89.6,19,0,9.22,AU,1613824539
103,mozarlandia,-14.7447,-50.5706,74.62,92,100,5.73,BR,1613825205
104,tahoua,14.8888,5.2692,82.4,5,0,11.5,NE,1613824501
105,digora,43.1581,44.1569,30.2,74,84,4.47,RU,1613825205
106,hokitika,-42.7167,170.9667,54.01,87,0,3.27,NZ,1613825206
107,port lincoln,-34.7333,135.8667,61.0,80,0,13.51,AU,1613824493
108,tasiilaq,65.6145,-37.6368,33.8,93,90,27.63,GL,1613824702
109,vaini,-21.2,-175.2,77.0,69,75,11.5,TO,1613824715
110,santa maria do para,-1.3503,-47.5756,81.97,79,43,5.12,BR,1613825206
111,hobart,-42.8794,147.3294,61.0,94,75,5.75,AU,1613824676
112,yaring,6.8662,101.3689,76.51,77,10,14.41,TH,1613825206
113,amapa,1.0,-52.0,75.97,88,100,3.91,BR,1613825207
114,otradnoye,59.7775,30.8181,19.4,73,0,11.18,RU,1613825207
115,great falls,47.5002,-111.3008,25.0,68,1,11.5,US,1613825207
116,pevek,69.7008,170.3133,-24.63,87,100,4.14,RU,1613824690
117,grindavik,63.8424,-22.4338,44.6,87,75,20.71,IS,1613825207
118,gorokhovets,56.1947,42.7003,3.2,72,0,4.47,RU,1613825207
119,kodiak,57.79,-152.4072,28.4,80,90,10.36,US,1613824673
120,guarapari,-20.6667,-40.4975,78.8,89,90,6.91,BR,1613825208
121,lakeway,30.3638,-97.9796,30.2,86,1,6.91,US,1613825208
122,wanaka,-44.7,169.15,54.81,48,100,4.52,NZ,1613824789
123,ilheus,-14.7889,-39.0494,86.0,79,40,8.05,BR,1613825208
124,rincon,32.296,-81.2354,37.4,87,1,6.91,US,1613825208
125,surt,31.2089,16.5887,64.08,44,54,6.04,LY,1613825208
126,beloha,-25.1667,45.05,98.64,34,99,10.0,MG,1613824763
127,wabash,40.7978,-85.8205,8.01,87,45,5.48,US,1613825209
128,haines junction,60.7522,-137.5108,-4.0,65,99,4.61,CA,1613824744
129,kapaa,22.0752,-159.319,73.4,83,20,13.8,US,1613824707
130,chuy,-33.6971,-53.4616,70.38,69,46,3.65,UY,1613824707
131,hofn,64.2539,-15.2082,41.85,82,100,8.57,IS,1613824741
132,bengkulu,-3.8004,102.2655,78.19,84,100,4.43,ID,1613824661
133,kalianget,-7.05,113.9333,79.7,82,98,11.61,ID,1613825210
134,saint-philippe,-21.3585,55.7679,86.0,70,75,6.91,RE,1613824681
135,zolotyy potik,48.9095,25.3393,46.4,57,0,2.24,UA,1613825210
136,alugan,12.2188,125.4808,77.99,81,100,22.26,PH,1613825211
137,ostrovnoy,68.0531,39.5131,-7.24,87,25,4.94,RU,1613824700
138,luzhou,28.8724,105.4405,68.05,45,96,2.95,CN,1613825211
139,kondinskoye,59.6481,67.41,-15.07,88,100,5.14,RU,1613825211
140,tuatapere,-46.1333,167.6833,53.01,90,0,1.01,NZ,1613824739
141,ahipara,-35.1667,173.1667,58.69,85,1,2.35,NZ,1613824714
142,verkhoyansk,67.5447,133.385,-38.15,78,0,0.4,RU,1613825213
143,kingaroy,-26.5333,151.8333,66.2,100,75,2.17,AU,1613825213
144,dikson,73.5069,80.5464,-15.38,89,99,6.93,RU,1613824677
145,semey,50.4111,80.2275,-0.4,71,0,6.71,KZ,1613824729
146,camacha,33.0833,-16.3333,55.4,88,75,19.57,PT,1613824717
147,sabha,27.0377,14.4283,72.16,18,0,4.12,LY,1613825214
148,sao lourenco do sul,-31.3653,-51.9783,73.4,83,75,4.61,BR,1613825214
149,hauterive,46.0901,3.4459,62.6,45,0,27.63,FR,1613825215
150,port hedland,-20.3167,118.5667,86.0,79,90,10.36,AU,1613824718
151,tuktoyaktuk,69.4541,-133.0374,-16.76,88,99,8.72,CA,1613824698
152,izumo,35.3667,132.7667,53.6,76,20,10.36,JP,1613825215
153,qaqortoq,60.7167,-46.0333,21.2,73,75,2.42,GL,1613824742
154,kruisfontein,-34.0033,24.7314,70.61,62,90,16.02,ZA,1613824734
155,santa clara,22.4,-79.9667,71.6,94,40,8.05,CU,1613825215
156,vila,42.0304,-8.1588,52.0,93,100,21.99,PT,1613825215
157,airai,-8.9266,125.4092,61.09,100,100,1.48,TL,1613824688
158,khorramshahr,30.4397,48.1664,71.6,24,0,2.3,IR,1613825216
159,jiwani,25.05,61.7417,77.25,41,0,8.86,PK,1613825216
160,vardo,70.3705,31.1107,15.8,57,40,8.05,NO,1613824687
161,cayenne,4.9333,-52.3333,82.4,74,75,11.5,GF,1613824523
162,thinadhoo,0.5333,72.9333,82.76,79,21,12.86,MV,1613825216
163,roald,62.5833,6.1333,44.6,81,75,8.05,NO,1613825217
164,filadelfia,39.9523,-75.1638,26.6,63,20,6.91,US,1613825085
165,bairiki,1.3292,172.9752,80.6,83,40,8.05,KI,1613824823
166,carnarvon,-24.8667,113.6333,82.4,83,0,12.66,AU,1613824706
167,comodoro rivadavia,-45.8667,-67.5,59.0,44,0,14.97,AR,1613824706
168,saldanha,-33.0117,17.9442,73.4,43,0,11.5,ZA,1613824553
169,nakusp,50.2499,-117.8023,28.4,100,98,3.44,CA,1613825218
170,mount kisco,41.2043,-73.7271,26.6,68,75,12.66,US,1613825219
171,yashan,22.1975,109.9419,70.09,58,71,4.47,CN,1613825220
172,carutapera,-1.195,-46.02,81.72,82,1,6.17,BR,1613825220
173,kavaratti,10.5669,72.642,81.57,58,7,1.45,IN,1613824498
174,salem,11.65,78.1667,79.29,61,100,5.64,IN,1613825221
175,port macquarie,-31.4333,152.9167,71.6,100,75,5.75,AU,1613824497
176,chokurdakh,70.6333,147.9167,-33.05,84,13,4.27,RU,1613824688
177,yulara,-25.2406,130.9889,87.8,40,90,20.71,AU,1613824734
178,saint george,37.1041,-113.5841,33.8,37,1,3.44,US,1613824505
179,vila franca do campo,37.7167,-25.4333,55.4,62,75,17.27,PT,1613824850
180,hamilton,39.1834,-84.5333,17.6,73,90,4.61,US,1613824730
181,berkak,62.825,10.0118,37.99,93,100,7.2,NO,1613825223
182,lebu,-37.6167,-73.65,56.37,59,0,15.84,CL,1613824555
183,vanimo,-2.6741,141.3028,79.05,80,100,1.66,PG,1613824753
184,bonthe,7.5264,-12.505,85.17,69,95,4.32,SL,1613824754
185,santa maria da vitoria,-13.3947,-44.1886,79.09,75,100,4.97,BR,1613825224
186,okhotsk,59.3833,143.3,1.06,84,100,13.11,RU,1613824838
187,northam,51.0333,-4.2167,54.0,89,100,15.99,GB,1613824864
188,ulagan,50.6321,87.9563,9.41,88,100,3.47,RU,1613825224
